sura,ayat,topic,confidence,text
1,1,-1,0.0,"Segala puji bagi Allah, Tuhan semesta alam"
1,2,4,0.07465251338454927,"Yang Maha Pengasih lagi Maha Penyayang,"
1,3,12,0.16251948410009892,Pemilik hari Pembalasan
1,4,-1,0.0,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.
1,5,21,0.8020388554712693,Bimbinglah kami ke jalan yang lurus
1,6,-1,0.0,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan buka..."
2,2,6,0.5354851383044573,Kitab (Al-Qur'an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang ...
2,3,9,0.09235318936542627,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki ..."
2,4,-1,0.0,dan mereka yang beriman pada (Al-Qur'an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab s...
2,5,9,1.0,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.
2,6,2,0.20995504712039242,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri pe..."
2,7,39,1.0,"Allah telah mengunci hati dan pendengaran mereka.) Pada penglihatan mereka ada penutup, dan bagi mer..."
2,8,2,0.03497298074534927,"Di antara manusia ada yang berkata,  Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya..."
2,9,2,0.1021035345803359,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa ..."
2,10,-1,0.0,"Dalam hati mereka ada penyakit,) lalu Allah menambah penyakitnya dan mereka mendapat azab yang sanga..."
2,11,-1,0.0,"Apabila dikatakan kepada mereka,  Janganlah berbuat kerusakan di bumi,”) mereka menjawab,  Sesungguh..."
2,12,4,0.17010425454060674,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari."
2,13,2,0.3174203901977082,"Apabila dikatakan kepada mereka,  Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menj..."
2,14,24,1.0,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi..."
2,15,-1,0.0,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.
2,16,-1,0.0,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaa..."
