sura,ayat,topic,confidence,text
1,1,0,0.02093595531610707,"Segala puji bagi Allah, Tuhan semesta alam"
1,2,1,0.04907358021912557,"Yang Maha Pengasih lagi Maha Penyayang,"
1,3,-1,0.0,Pemilik hari Pembalasan
1,4,-1,0.0,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.
1,5,24,0.44169136054722136,Bimbinglah kami ke jalan yang lurus
1,6,-1,0.0,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan buka..."
2,2,5,0.6425093578749806,Kitab (Al-Qur'an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang ...
2,3,31,1.0,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki ..."
2,4,-1,0.0,dan mereka yang beriman pada (Al-Qur'an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab s...
2,5,44,1.0,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.
2,6,3,0.20013074271844125,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri pe..."
2,7,45,1.0,"Allah telah mengunci hati dan pendengaran mereka.) Pada penglihatan mereka ada penutup, dan bagi mer..."
2,8,3,0.03006085039276572,"Di antara manusia ada yang berkata,  Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya..."
2,9,3,0.154252694137688,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa ..."
2,10,-1,0.0,"Dalam hati mereka ada penyakit,) lalu Allah menambah penyakitnya dan mereka mendapat azab yang sanga..."
2,11,26,1.0,"Apabila dikatakan kepada mereka,  Janganlah berbuat kerusakan di bumi,”) mereka menjawab,  Sesungguh..."
2,12,26,1.0,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari."
2,13,3,0.384530856525126,"Apabila dikatakan kepada mereka,  Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menj..."
2,14,25,0.5372135484055605,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi..."
2,15,-1,0.0,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.
2,16,-1,0.0,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaa..."
2,17,-1,0.0,"Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, All..."
2,18,45,0.603397275924799,"(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali."
2,19,-1,0.0,"Atau, seperti (orang yang ditimpa) hujan lebat dari langit yang disertai berbagai kegelapan, petir, ..."
2,20,-1,0.0,"Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjal..."
2,21,-1,0.0,"Wahai manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu agar ..."
2,22,0,0.3338407622586804,"(Dialah) yang menjadikan bagimu bumi (sebagai) hamparan dan langit sebagai atap, dan Dialah yang men..."
2,23,20,1.0,Jika kamu (tetap) dalam keraguan tentang apa (Al-Qur'an) yang Kami turunkan kepada hamba Kami (Nabi ...
2,24,23,0.09317647230215614,"Jika kamu tidak (mampu) membuat(-nya) dan (pasti) kamu tidak akan (mampu) membuat(-nya), takutlah pa..."
2,25,42,1.0,Sampaikanlah kabar gembira kepada orang-orang yang beriman dan beramal saleh bahwa untuk mereka (dis...
2,26,10,0.1287577647196121,Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu....
2,27,2,0.016910687885037436,"(yaitu) orang-orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, memutuskan ..."
2,28,2,1.0,"Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu Dia menghidupkan kamu, kemudia..."
2,29,0,0.6410972746191204,"Dialah (Allah) yang menciptakan segala yang ada di bumi untukmu, kemudian Dia menuju ke langit, lalu..."
2,30,16,1.0,"(Ingatlah) ketika Tuhanmu berfirman kepada para malaikat,  Aku hendak menjadikan khalifah) di bumi.”..."
2,31,16,1.0,"Dia mengajarkan kepada Adam nama-nama (benda) seluruhnya, kemudian Dia memperlihatkannya kepada para..."
2,32,-1,0.0,"Mereka menjawab,  Maha Suci Engkau. Tidak ada pengetahuan bagi kami, selain yang telah Engkau ajarka..."
2,33,0,1.0,"Dia (Allah) berfirman,  Wahai Adam, beri tahukanlah kepada mereka nama-nama benda itu!” Setelah dia ..."
2,34,16,0.14076672422938782,"(Ingatlah) ketika Kami berfirman kepada para malaikat,  Sujudlah kamu kepada Adam!” Maka, mereka pun..."
2,35,6,0.19996540722263137,"Kami berfirman,  Wahai Adam, tinggallah engkau dan istrimu di dalam surga, makanlah dengan nikmat (b..."
2,36,25,1.0,"Lalu, setan menggelincirkan keduanya darinya) sehingga keduanya dikeluarkan dari segala kenikmatan k..."
2,37,-1,0.0,"Kemudian, Adam menerima beberapa kalimat) dari Tuhannya, lalu Dia pun menerima tobatnya. Sesungguhny..."
2,38,27,0.176736527313851,"Kami berfirman,  Turunlah kamu semua dari surga! Lalu, jika benar-benar datang petunjuk-Ku kepadamu,..."
2,39,23,0.7496472040388945,"(Sementara itu,) orang-orang yang mengingkari dan mendustakan ayat-ayat Kami, mereka itulah penghuni..."
2,40,38,0.31968474463450003,"Wahai Bani Israil,) ingatlah nikmat-Ku yang telah Aku berikan kepadamu dan penuhilah janjimu kepada-..."
2,41,-1,0.0,Berimanlah kamu kepada apa (Al-Qur'an) yang telah Aku turunkan sebagai pembenar bagi apa yang ada pa...
2,42,22,1.0,Janganlah kamu campuradukkan kebenaran dengan kebatilan) dan (jangan pula) kamu sembunyikan kebenara...
2,43,21,0.03117795217952436,"Tegakkanlah salat, tunaikanlah zakat, dan rukuklah beserta orang-orang yang rukuk."
2,44,5,0.3909585054434524,"Mengapa kamu menyuruh orang lain untuk (mengerjakan) kebajikan, sedangkan kamu melupakan dirimu send..."
2,45,31,1.0,Mohonlah pertolongan (kepada Allah) dengan sabar dan salat. Sesungguhnya (salat) itu benar-benar ber...
2,46,7,1.0,(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhannya dan hanya kepada-Nya mereka kem...
2,47,8,1.0,"Wahai Bani Israil, ingatlah nikmat-Ku yang telah Aku anugerahkan kepadamu dan sesungguhnya Aku telah..."
2,48,27,0.015153681305026246,"Takutlah kamu pada suatu hari (kiamat) yang seseorang tidak dapat membela orang lain sedikit pun, sy..."
2,49,-1,0.0,(Ingatlah) ketika Kami menyelamatkan kamu dari (Fir‘aun dan) pengikut-pengikut Fir‘aun.) Mereka meni...
2,50,29,0.09721244568201959,"(Ingatlah) ketika Kami membelah laut untukmu, lalu Kami menyelamatkanmu dan menenggelamkan (Fir‘aun ..."
2,51,17,0.0809335996410173,(Ingatlah) ketika Kami menjanjikan (petunjuk Taurat) kepada Musa (melalui munajat selama) empat pulu...
2,52,-1,0.0,"Setelah itu, Kami memaafkan kamu agar kamu bersyukur."
2,53,-1,0.0,(Ingatlah) ketika Kami memberikan kitab (Taurat) dan furqān kepada Musa agar kamu memperoleh petunju...
2,54,2,0.030900417405218605,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Wahai kaumku, sesungguhnya kamu telah menzalimi diri..."
2,55,30,0.02910597939726634,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak akan beriman kepadamu sebelum melihat Allah ..."
2,56,8,0.0697448720669633,"Kemudian, Kami membangkitkan kamu setelah kematianmu agar kamu bersyukur."
2,57,32,1.0,Kami menaungi kamu dengan awan dan Kami menurunkan kepadamu manna dan salwa.) Makanlah (makanan) yan...
2,58,1,0.06749632268944021,"(Ingatlah) ketika Kami berfirman,  Masuklah ke negeri ini (Baitulmaqdis). Lalu, makanlah dengan nikm..."
2,59,23,0.023086098218742374,"Lalu, orang-orang yang zalim mengganti perintah dengan (perintah lain) yang tidak diperintahkan kepa..."
2,60,26,0.049528177069987925,"(Ingatlah) ketika Musa memohon (curahan) air untuk kaumnya. Lalu, Kami berfirman,  Pukullah batu itu..."
2,61,-1,0.0,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak tahan hanya (makan) dengan satu macam makana..."
2,62,-1,0.0,"Sesungguhnya orang-orang yang beriman, orang-orang Yahudi, orang-orang Nasrani, dan orang-orang Sabi..."
2,63,32,0.1252049360843152,(Ingatlah) ketika Kami mengambil janjimu dan Kami angkat gunung (Sinai) di atasmu (seraya berfirman)...
2,64,8,0.07221749669147738,"Setelah itu, kamu berpaling. Maka, seandainya bukan karena karunia Allah dan rahmat-Nya kepadamu, pa..."
2,65,1,1.0,"Sungguh, kamu benar-benar telah mengetahui orang-orang yang melakukan pelanggaran di antara kamu pad..."
2,66,-1,0.0,"Maka, Kami jadikan (yang demikian) itu sebagai peringatan bagi orang-orang pada masa itu dan bagi me..."
2,67,26,0.690356299772208,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Allah memerintahkan kamu agar menyembelih seekor sap..."
2,68,26,1.0,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sap..."
2,69,26,1.0,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami apa warnanya..."
2,70,26,0.5295685978736347,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sap..."
2,71,26,1.0,"Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa (sapi) itu adalah sapi yang belum pernah dipakai u..."
2,72,-1,0.0,"(Ingatlah) ketika kamu membunuh seseorang lalu kamu saling tuduh tentang itu. Akan tetapi, Allah men..."
2,73,2,0.23520852824337715,"Lalu, Kami berfirman,  Pukullah (mayat) itu dengan bagian dari (sapi) itu!” Demikianlah Allah menghi..."
2,74,-1,0.0,"Setelah itu, hatimu menjadi keras sehingga ia (hatimu) seperti batu, bahkan lebih keras. Padahal, da..."
2,75,-1,0.0,"Maka, apakah kamu (muslimin) sangat mengharapkan mereka agar percaya kepadamu, sedangkan segolongan ..."
2,76,3,0.2525639294042057,"Apabila berjumpa dengan orang-orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi,..."
2,77,-1,0.0,Tidakkah mereka tahu bahwa Allah mengetahui apa yang mereka sembunyikan dan apa yang mereka nyatakan...
2,78,5,0.12354566455377904,"Di antara mereka ada yang umi (buta huruf), tidak memahami Kitab (Taurat), kecuali hanya berangan-an..."
2,79,1,0.13096436363597677,"Celakalah orang-orang yang menulis kitab dengan tangan mereka (sendiri), kemudian berkata,  Ini dari..."
2,80,38,0.35077097912395283,"Mereka berkata,  Neraka tidak akan menyentuh kami, kecuali beberapa hari saja.” Katakanlah,  Sudahka..."
2,81,23,1.0,"Bukan demikian! Siapa yang berbuat keburukan dan dosanya telah menenggelamkannya, mereka itulah peng..."
2,82,41,1.0,"Adapun orang-orang yang beriman dan beramal saleh, mereka itulah penghuni surga. Mereka kekal di dal..."
