Topic,Count,Name,Representation,Representative_Docs
-1,1941,-1_maha_benar_beri_kepada,"['maha', 'benar', 'beri', 'kepada', 'siapa', 'tuhan', 'baik', 'tahu', 'kaum', 'hendak']","['musa kaum wahai kaum zalim diri sendiri jadi anak sapi tobat cipta bunuh diri baik bagi pandang cipta terima tobat dia maha terima tobat maha sayang', 'tuhan dia benar benar maha perkasa maha sayang', 'tuhan dia benar benar maha perkasa maha sayang']"
0,221,0_bumi_langit_langit bumi_cipta,"['bumi', 'langit', 'langit bumi', 'cipta', 'ada', 'milik', 'ada langit', 'cipta langit', 'ada bumi', 'segala']","['ada langit bumi tasbih dia maha perkasa maha bijaksana', 'milik allah raja langit bumi maha kuasa atas segala', 'langit bumi ada dua maha perkasa maha kam']"
1,132,1_tuhan_maha_tuhan tuhan_nama tuhan,"['tuhan', 'maha', 'tuhan tuhan', 'nama tuhan', 'tuhan maha', 'nama', 'bijaksana', 'maha bijaksana', 'agung', 'maha perkasa']","['tasbih nama tuhan maha agung', 'tasbih nama tuhan maha agung', 'tasbih nama tuhan maha agung']"
2,127,2_mati_hidup_akhirat_dunia,"['mati', 'hidup', 'akhirat', 'dunia', 'hidup dunia', 'hidup mati', 'mati hidup', 'dunia akhirat', 'nyawa', 'bangkit']","['mati', 'mati hidup', 'hidup mati']"
3,126,3_iman_banyak iman_wahai iman_iman kepada,"['iman', 'banyak iman', 'wahai iman', 'iman kepada', 'banyak', 'tanda banyak', 'benar', 'dapat tanda', 'benar dapat', 'kufur']","['benar benar dapat tanda banyak iman', 'benar benar dapat tanda banyak iman', 'benar benar dapat tanda banyak iman']"
4,121,4_ayat_ayat ayat_kitab_baca,"['ayat', 'ayat ayat', 'kitab', 'baca', 'dusta ayat', 'jelas', 'turun', 'olok', 'hikmah', 'dusta']","['ayat ayat kitab jelas', 'ayat ayat kitab jelas', 'benar benar dusta ayat ayat']"
5,108,5_istri_perempuan_laki_istri istri,"['istri', 'perempuan', 'laki', 'istri istri', 'saudara', 'anak', 'halal', 'laki laki', 'perempuan perempuan', 'ibu']","['minta fatwa kepada kata beri fatwa kepada kal lah orang tinggal anak orang saudara perempuan bagi dua harta tinggal adapun saudara laki laki waris anak saudara perempuan dua tiga harta tinggal saudara laki laki perempuan bagi orang saudara laki laki sama bagi dua saudara perempuan terang kepada sesat maha tahu segala', 'haram atas ibu ibu anak anak perempuan saudara saudara perempuan saudara saudara perempuan ayah saudara saudara perempuan ibu anak anak perempuan saudara laki laki anak anak perempuan saudara perempuan ibu susu saudara saudara perempuan susu ibu istri istri anak anak perempuan istri pelihara istri campur campur istri dosa bagi istri istri anak kandung kumpul perempuan saudara lampau maha kam maha sayang', 'wahai nabi halal bagi istri istri ikan maskawin hamba sahaya milik oleh peperangan anugerah untuk anak anak perempuan saudara laki laki bapak anak anak perempuan saudara perempuan bapak anak anak perempuan saudara laki laki ibu anak anak perempuan saudara perempuan ibu turut hijrah sama perempuan mukminat serah diri nabi nabi nikah khusus bagi mukmin tahu wajib istri istri hamba sahaya milik sempit bagi maha kam maha sayang']"
6,107,6_anugerah_karunia_syukur_rahmat,"['anugerah', 'karunia', 'syukur', 'rahmat', 'harta', 'nikmat', 'beri', 'kaya', 'senang', 'nikmat anugerah']","['wahai bani israil ingat nikmat anugerah kepada lebih umat alam', 'karunia anugerah siapa hendak karunia besar', 'wahai bani israil ingat nikmat anugerah kepada lebih umat alam']"
7,105,7_kafir_kaum kafir_azab_kafir azab,"['kafir', 'kaum kafir', 'azab', 'kafir azab', 'iman', 'mukmin', 'kafir hanya', 'ada', 'kafir benar', 'sedia']","['turun tenang rasul mukmin turun bala tentara lihat siksa kafir balas kafir', 'mereka kafir benar sedia kafir azab hina', 'tolong tolong kafir usir salah satu dua dua ada gua sahabat jangan sedih sama turun tenang kepada kuat bala tentara lihat jadi seru kafir seru paling rendah firman paling tinggi maha perkasa maha bijaksana']"
8,92,8_rasul_rasul rasul_orang rasul_taat,"['rasul', 'rasul rasul', 'orang rasul', 'taat', 'kepada', 'orang', 'datang', 'benar', 'percaya kepada', 'rasul benar']","['orang rasul percaya kepada', 'orang rasul percaya kepada', 'benar benar salah orang rasul rasul']"
